|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.buoys|2.ships|nreports|nreports.buoys|nreports.ships
1853-11-01|1251|0|1251|499.0|0|499.0|3552.0|0|3552.0|5302|0|5302
1853-12-01|1524|0|1524|622.0|0|622.0|4104.0|0|4104.0|6250|0|6250
1854-01-01|956|0|956|357.0|0|357.0|4079.0|0|4079.0|5392|0|5392
1854-02-01|780|0|780|304.0|0|304.0|3543.0|0|3543.0|4627|0|4627
1854-03-01|1585|0|1585|427.0|0|427.0|4062.0|0|4062.0|6074|0|6074
1854-04-01|2586|0|2586|519.0|0|519.0|3524.0|0|3524.0|6629|0|6629
1854-05-01|3751|0|3751|457.0|0|457.0|3228.0|0|3228.0|7436|0|7436
1854-06-01|5017|0|5017|656.0|0|656.0|2714.0|0|2714.0|8387|0|8387
1854-07-01|6424|0|6424|633.0|0|633.0|2318.0|0|2318.0|9375|0|9375
1854-08-01|7956|0|7956|880.0|0|880.0|2548.0|0|2548.0|11384|0|11384
1854-09-01|8767|0|8767|909.0|0|909.0|2257.0|0|2257.0|11933|0|11933
1854-10-01|8803|0|8803|1109.0|0|1109.0|2018.0|0|2018.0|11930|0|11930
1854-11-01|9918|0|9918|1347.0|0|1347.0|1728.0|0|1728.0|12993|0|12993
1854-12-01|11560|0|11560|1563.0|0|1563.0|1421.0|0|1421.0|14544|0|14544
1855-01-01|12072|0|12072|1856.0|0|1856.0|1197.0|0|1197.0|15125|0|15125
1855-02-01|11657|0|11657|1480.0|0|1480.0|938.0|0|938.0|14075|0|14075
1855-03-01|11406|0|11406|1028.0|0|1028.0|816.0|0|816.0|13250|0|13250
1855-04-01|11913|0|11913|1358.0|0|1358.0|1119.0|0|1119.0|14390|0|14390
1855-05-01|11479|0|11479|1551.0|0|1551.0|953.0|0|953.0|13983|0|13983
1855-06-01|12771|0|12771|1899.0|0|1899.0|937.0|0|937.0|15607|0|15607
1855-07-01|14999|0|14999|1680.0|0|1680.0|823.0|0|823.0|17502|0|17502
1855-08-01|14943|0|14943|1556.0|0|1556.0|1045.0|0|1045.0|17544|0|17544
1855-09-01|14491|0|14491|1699.0|0|1699.0|630.0|0|630.0|16820|0|16820
1855-10-01|14994|0|14994|2147.0|0|2147.0|604.0|0|604.0|17745|0|17745
1855-11-01|14881|0|14881|2097.0|0|2097.0|516.0|0|516.0|17494|0|17494
1855-12-01|16313|0|16313|1711.0|0|1711.0|431.0|0|431.0|18455|0|18455
1856-01-01|14952|0|14952|1711.0|0|1711.0|710.0|0|710.0|17373|0|17373
1856-02-01|15350|0|15350|1500.0|0|1500.0|661.0|0|661.0|17511|0|17511
1856-03-01|17437|0|17437|2144.0|0|2144.0|358.0|0|358.0|19939|0|19939
1856-04-01|15991|0|15991|1692.0|0|1692.0|331.0|0|331.0|18014|0|18014
1856-05-01|16191|0|16191|1724.0|0|1724.0|322.0|0|322.0|18237|0|18237
1856-06-01|16546|0|16546|2025.0|0|2025.0|234.0|0|234.0|18805|0|18805
1856-07-01|15700|0|15700|1968.0|0|1968.0|294.0|0|294.0|17962|0|17962
1856-08-01|16249|0|16249|2267.0|0|2267.0|362.0|0|362.0|18878|0|18878
1856-09-01|14247|0|14247|2179.0|0|2179.0|156.0|0|156.0|16582|0|16582
1856-10-01|15138|0|15138|2386.0|0|2386.0|189.0|0|189.0|17713|0|17713
1856-11-01|16274|0|16274|2196.0|0|2196.0|162.0|0|162.0|18632|0|18632
1856-12-01|17220|0|17220|2046.0|0|2046.0|60.0|0|60.0|19326|0|19326
1857-01-01|16520|0|16520|2113.0|0|2113.0|199.0|0|199.0|18832|0|18832
1857-02-01|14229|0|14229|1827.0|0|1827.0|119.0|0|119.0|16175|0|16175
1857-03-01|15868|0|15868|2103.0|0|2103.0|169.0|0|169.0|18140|0|18140
1857-04-01|15722|0|15722|2183.0|0|2183.0|123.0|0|123.0|18028|0|18028
1857-05-01|18533|0|18533|2485.0|0|2485.0|54.0|0|54.0|21072|0|21072
1857-06-01|17784|0|17784|2517.0|0|2517.0|171.0|0|171.0|20472|0|20472
1857-07-01|18420|0|18420|1985.0|0|1985.0|81.0|0|81.0|20486|0|20486
1857-08-01|17684|0|17684|1778.0|0|1778.0|140.0|0|140.0|19602|0|19602
1857-09-01|17504|0|17504|1766.0|0|1766.0|13.0|0|13.0|19283|0|19283
1857-10-01|18028|0|18028|2005.0|0|2005.0|140.0|0|140.0|20173|0|20173
1857-11-01|16987|0|16987|1556.0|0|1556.0|37.0|0|37.0|18580|0|18580
1857-12-01|17572|0|17572|1313.0|0|1313.0|92.0|0|92.0|18977|0|18977
1858-01-01|17644|0|17644|1292.0|0|1292.0|85.0|0|85.0|19021|0|19021
1858-02-01|16120|0|16120|1153.0|0|1153.0|33.0|0|33.0|17306|0|17306
1858-03-01|16625|0|16625|1535.0|0|1535.0|16.0|0|16.0|18176|0|18176
1858-04-01|15265|0|15265|1221.0|0|1221.0|101.0|0|101.0|16587|0|16587
1858-05-01|15744|0|15744|1523.0|0|1523.0|145.0|0|145.0|17412|0|17412
