|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.ships|3|3.buoys|3.ships|4|4.ships|nreports|nreports.buoys|nreports.ships
1857-10-01|20135|0|20135|135.0|0|135.0|0|0|139.0|0|139.0|0|0|20409|0|20409
1857-11-01|19068|0|19068|6.0|0|6.0|0|0|6.0|0|6.0|0|0|19080|0|19080
1857-12-01|19277|0|19277|55.0|0|55.0|0|0|54.0|0|54.0|0|0|19386|0|19386
1858-01-01|19561|0|19561|46.0|0|46.0|0|0|51.0|0|51.0|52.0|52.0|19710|0|19710
1858-02-01|17680|0|17680|24.0|0|24.0|0|0|24.0|0|24.0|20.0|20.0|17748|0|17748
1858-03-01|18855|0|18855|16.0|0|16.0|0|0|16.0|0|16.0|37.0|37.0|18924|0|18924
1858-04-01|17083|0|17083|81.0|0|81.0|0|0|81.0|0|81.0|28.0|28.0|17273|0|17273
1858-05-01|17555|0|17555|100.0|0|100.0|0|0|100.0|0|100.0|57.0|57.0|17812|0|17812
1858-06-01|16019|0|16019|24.0|0|24.0|0|0|24.0|0|24.0|0|0|16067|0|16067
1858-07-01|18877|0|18877|15.0|0|15.0|0|0|15.0|0|15.0|0|0|18907|0|18907
1858-08-01|17053|0|17053|68.0|0|68.0|0|0|67.0|0|67.0|28.0|28.0|17216|0|17216
1858-09-01|15107|0|15107|13.0|0|13.0|0|0|12.0|0|12.0|15.0|15.0|15147|0|15147
1858-10-01|14663|0|14663|92.0|0|92.0|0|0|92.0|0|92.0|19.0|19.0|14866|0|14866
1858-11-01|15990|0|15990|18.0|0|18.0|0|0|19.0|0|19.0|86.0|86.0|16113|0|16113
1858-12-01|16046|0|16046|62.0|0|62.0|0|0|61.0|0|61.0|28.0|28.0|16197|0|16197
1859-01-01|16438|0|16438|6.0|0|6.0|0|0|6.0|0|6.0|0|0|16450|0|16450
1859-02-01|14740|0|14740|56.0|0|56.0|0|0|57.0|0|57.0|0|0|14853|0|14853
1859-03-01|15912|0|15912|125.0|0|125.0|0|0|126.0|0|126.0|0|0|16163|0|16163
1859-04-01|15142|0|15142|4.0|0|4.0|0|0|3.0|0|3.0|0|0|15149|0|15149
1859-05-01|14180|0|14180|60.0|0|60.0|0|0|61.0|0|61.0|35.0|35.0|14336|0|14336
1859-06-01|13392|0|13392|38.0|0|38.0|0|0|37.0|0|37.0|0|0|13467|0|13467
1859-07-01|14121|0|14121|37.0|0|37.0|0|0|37.0|0|37.0|0|0|14195|0|14195
1859-08-01|12479|0|12479|32.0|0|32.0|0|0|32.0|0|32.0|0|0|12543|0|12543
1859-09-01|11240|0|11240|25.0|0|25.0|0|0|25.0|0|25.0|0|0|11290|0|11290
1859-10-01|12045|0|12045|20.0|0|20.0|0|0|21.0|0|21.0|0|0|12086|0|12086
1859-11-01|12551|0|12551|49.0|0|49.0|0|0|45.0|0|45.0|0|0|12645|0|12645
1859-12-01|14154|0|14154|24.0|0|24.0|0|0|26.0|0|26.0|0|0|14204|0|14204
1860-01-01|14088|0|14088|8.0|0|8.0|0|0|7.0|0|7.0|0|0|14103|0|14103
1860-02-01|11621|0|11621|42.0|0|42.0|0|0|43.0|0|43.0|0|0|11706|0|11706
1860-03-01|11189|0|11189|50.0|0|50.0|0|0|50.0|0|50.0|0|0|11289|0|11289
1860-04-01|10782|0|10782|14.0|0|14.0|0|0|9.0|0|9.0|0|0|10805|0|10805
1860-05-01|12153|0|12153|50.0|0|50.0|0|0|50.0|0|50.0|0|0|12253|0|12253
1860-06-01|10997|0|10997|28.0|0|28.0|0|0|27.0|0|27.0|0|0|11052|0|11052
1860-07-01|12101|0|12101|41.0|0|41.0|0|0|36.0|0|36.0|0|0|12178|0|12178
1860-08-01|12076|0|12076|38.0|0|38.0|0|0|37.0|0|37.0|0|0|12151|0|12151
1860-09-01|9741|0|9741|31.0|0|31.0|0|0|31.0|0|31.0|0|0|9803|0|9803
1860-10-01|8927|0|8927|12.0|0|12.0|0|0|12.0|0|12.0|0|0|8951|0|8951
1860-11-01|9506|0|9506|1.0|0|1.0|0|0|1.0|0|1.0|0|0|9508|0|9508
1860-12-01|8430|0|8430|13.0|0|13.0|0|0|11.0|0|11.0|0|0|8454|0|8454
1861-01-01|8022|0|8022|11.0|0|11.0|0|0|11.0|0|11.0|0|0|8044|0|8044
1861-02-01|7646|0|7646|0|0|0|0|0|0|0|0|0|0|7646|0|7646
1861-03-01|5668|0|5668|0|0|0|0|0|0|0|0|0|0|5668|0|5668
1861-04-01|5424|0|5424|0|0|0|0|0|0|0|0|0|0|5424|0|5424
1861-05-01|5494|0|5494|0|0|0|0|0|0|0|0|0|0|5494|0|5494
1861-06-01|5686|0|5686|19.0|0|19.0|0|0|19.0|0|19.0|0|0|5724|0|5724
1861-07-01|5980|0|5980|17.0|0|17.0|0|0|17.0|0|17.0|0|0|6014|0|6014
1861-08-01|6343|0|6343|8.0|0|8.0|0|0|8.0|0|8.0|0|0|6359|0|6359
1861-09-01|5939|0|5939|10.0|0|10.0|0|0|10.0|0|10.0|0|0|5959|0|5959
1861-10-01|7226|0|7226|4.0|0|4.0|0|0|4.0|0|4.0|0|0|7234|0|7234
1861-11-01|8051|0|8051|6.0|0|6.0|0|0|6.0|0|6.0|0|0|8063|0|8063
1861-12-01|8215|0|8215|13.0|0|13.0|0|0|13.0|0|13.0|0|0|8241|0|8241
1862-01-01|7818|0|7818|0|0|0|0|0|0|0|0|0|0|7818|0|7818
1862-02-01|5742|0|5742|0|0|0|0|0|0|0|0|0|0|5742|0|5742
1862-03-01|6810|0|6810|0|0|0|0|0|0|0|0|0|0|6810|0|6810
1862-04-01|5838|0|5838|3.0|0|3.0|0|0|3.0|0|3.0|0|0|5844|0|5844
1862-05-01|8686|0|8686|0|0|0|0|0|0|0|0|0|0|8686|0|8686
1862-06-01|8992|0|8992|10.0|0|10.0|0|0|8.0|0|8.0|3.0|3.0|9013|0|9013
1862-07-01|9052|0|9052|12.0|0|12.0|0|0|13.0|0|13.0|0|0|9077|0|9077
1862-08-01|8696|0|8696|5.0|0|5.0|0|0|5.0|0|5.0|0|0|8706|0|8706
1862-09-01|8662|0|8662|12.0|0|12.0|0|0|12.0|0|12.0|0|0|8686|0|8686
1862-10-01|7171|0|7171|0|0|0|0|0|0|0|0|0|0|7171|0|7171
1862-11-01|5966|0|5966|0|0|0|0|0|0|0|0|0|0|5966|0|5966
1862-12-01|6152|0|6152|11.0|0|11.0|0|0|11.0|0|11.0|0|0|6174|0|6174
